season,match_date,home_team,away_team,competition,venue,home_score,away_score
2003-2004,Tuesday 13 April 2004,Man Utd,Leicester,Premier League,"Old Trafford, Manchester",1,0
2003-2004,Tuesday 13 April 2004,Leeds,Everton,Premier League,"Elland Road, Leeds",1,1
2003-2004,Monday 12 April 2004,Aston Villa,Chelsea,Premier League,"Villa Park, Birmingham",3,2
2003-2004,Monday 12 April 2004,Fulham,Blackburn,Premier League,"Loftus Road, London",3,4
2003-2004,Monday 12 April 2004,Liverpool,Charlton,Premier League,"Anfield, Liverpool",0,1
2003-2004,Monday 12 April 2004,Middlesbrough,Southampton,Premier League,"Riverside Stadium, Middlesbrough",3,1
2003-2004,Monday 12 April 2004,Spurs,Man City,Premier League,"White Hart Lane, London",1,1
2003-2004,Monday 12 April 2004,Portsmouth,Birmingham,Premier League,"Fratton Park, Portsmouth",3,1
2003-2004,Monday 12 April 2004,Wolves,Bolton,Premier League,"Molineux, Wolverhampton",1,2
2003-2004,Sunday 11 April 2004,Newcastle,Arsenal,Premier League,"Sports Direct Arena, Newcastle",0,0
2003-2004,Saturday 10 April 2004,Birmingham,Man Utd,Premier League,"St Andrews, Birmingham",1,2
2003-2004,Saturday 10 April 2004,Bolton,Aston Villa,Premier League,"Macron Stadium, Bolton",2,2
2003-2004,Saturday 10 April 2004,Charlton,Portsmouth,Premier League,"The Valley, London",1,1
2003-2004,Saturday 10 April 2004,Chelsea,Middlesbrough,Premier League,"Stamford Bridge, London",0,0
2003-2004,Saturday 10 April 2004,Leicester,Fulham,Premier League,"King Power Stadium, Leicester",0,2
2003-2004,Saturday 10 April 2004,Blackburn,Leeds,Premier League,"Ewood Park, Blackburn",1,2
2003-2004,Saturday 10 April 2004,Man City,Wolves,Premier League,"Etihad Stadium, Manchester",3,3
2003-2004,Friday 9 April 2004,Arsenal,Liverpool,Premier League,"Highbury, London",4,2
2003-2004,Friday 9 April 2004,Everton,Spurs,Premier League,"Goodison Park, Liverpool",3,1
2003-2004,Monday 5 April 2004,Leeds,Leicester,Premier League,"Elland Road, Leeds",3,2
2003-2004,Sunday 4 April 2004,Aston Villa,Man City,Premier League,"Villa Park, Birmingham",1,1
2003-2004,Sunday 4 April 2004,Liverpool,Blackburn,Premier League,"Anfield, Liverpool",4,0
2003-2004,Saturday 3 April 2004,Fulham,Birmingham,Premier League,"Loftus Road, London",0,0
2003-2004,Saturday 3 April 2004,Middlesbrough,Bolton,Premier League,"Riverside Stadium, Middlesbrough",2,0
2003-2004,Saturday 3 April 2004,Newcastle,Everton,Premier League,"Sports Direct Arena, Newcastle",4,2
2003-2004,Saturday 3 April 2004,Spurs,Chelsea,Premier League,"White Hart Lane, London",0,1
2003-2004,Saturday 3 April 2004,Wolves,Southampton,Premier League,"Molineux, Wolverhampton",1,4
2003-2004,Sunday 28 March 2004,Arsenal,Man Utd,Premier League,"Highbury, London",1,1
2003-2004,Sunday 28 March 2004,Bolton,Newcastle,Premier League,"Macron Stadium, Bolton",1,0
2003-2004,Sunday 28 March 2004,Leicester,Liverpool,Premier League,"King Power Stadium, Leicester",0,0
2003-2004,Saturday 27 March 2004,Blackburn,Portsmouth,Premier League,"Ewood Park, Blackburn",1,2
2003-2004,Saturday 27 March 2004,Charlton,Aston Villa,Premier League,"The Valley, London",1,2
2003-2004,Saturday 27 March 2004,Chelsea,Wolves,Premier League,"Stamford Bridge, London",5,2
2003-2004,Saturday 27 March 2004,Everton,Middlesbrough,Premier League,"Goodison Park, Liverpool",1,1
2003-2004,Saturday 27 March 2004,Birmingham,Leeds,Premier League,"St Andrews, Birmingham",4,1
2003-2004,Saturday 27 March 2004,Man City,Fulham,Premier League,"Etihad Stadium, Manchester",0,0
2003-2004,Saturday 27 March 2004,Southampton,Spurs,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,0
2003-2004,Monday 22 March 2004,Leeds,Man City,Premier League,"Elland Road, Leeds",2,1
2003-2004,Sunday 21 March 2004,Portsmouth,Southampton,Premier League,"Fratton Park, Portsmouth",1,0
2003-2004,Saturday 20 March 2004,Arsenal,Bolton,Premier League,"Highbury, London",2,1
2003-2004,Saturday 20 March 2004,Aston Villa,Blackburn,Premier League,"Villa Park, Birmingham",0,2
2003-2004,Saturday 20 March 2004,Chelsea,Fulham,Premier League,"Stamford Bridge, London",2,1
2003-2004,Saturday 20 March 2004,Leicester,Everton,Premier League,"King Power Stadium, Leicester",1,1
2003-2004,Saturday 20 March 2004,Liverpool,Wolves,Premier League,"Anfield, Liverpool",1,0
2003-2004,Saturday 20 March 2004,Man Utd,Spurs,Premier League,"Old Trafford, Manchester",3,0
2003-2004,Saturday 20 March 2004,Middlesbrough,Birmingham,Premier League,"Riverside Stadium, Middlesbrough",5,3
2003-2004,Saturday 20 March 2004,Newcastle,Charlton,Premier League,"Sports Direct Arena, Newcastle",3,1
2003-2004,Wednesday 17 March 2004,Liverpool,Portsmouth,Premier League,"Anfield, Liverpool",3,0
2003-2004,Sunday 14 March 2004,Spurs,Newcastle,Premier League,"White Hart Lane, London",1,0
2003-2004,Sunday 14 March 2004,Wolves,Aston Villa,Premier League,"Molineux, Wolverhampton",0,4
2003-2004,Sunday 14 March 2004,Man City,Man Utd,Premier League,"Etihad Stadium, Manchester",4,1
2003-2004,Sunday 14 March 2004,Southampton,Liverpool,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,0
2003-2004,Saturday 13 March 2004,Birmingham,Leicester,Premier League,"St Andrews, Birmingham",0,1
2003-2004,Saturday 13 March 2004,Blackburn,Arsenal,Premier League,"Ewood Park, Blackburn",0,2
2003-2004,Saturday 13 March 2004,Bolton,Chelsea,Premier League,"Macron Stadium, Bolton",0,2
2003-2004,Saturday 13 March 2004,Charlton,Middlesbrough,Premier League,"The Valley, London",1,0
2003-2004,Saturday 13 March 2004,Everton,Portsmouth,Premier League,"Goodison Park, Liverpool",1,0
2003-2004,Saturday 13 March 2004,Fulham,Leeds,Premier League,"Loftus Road, London",2,0
2003-2004,Tuesday 9 March 2004,Middlesbrough,Spurs,Premier League,"Riverside Stadium, Middlesbrough",1,0
2003-2004,Saturday 6 March 2004,Birmingham,Bolton,Premier League,"St Andrews, Birmingham",2,0
2003-2004,Wednesday 3 March 2004,Birmingham,Middlesbrough,Premier League,"St Andrews, Birmingham",3,1
2003-2004,Sunday 29 February 2004,Portsmouth,Newcastle,Premier League,"Fratton Park, Portsmouth",1,1
2003-2004,Sunday 29 February 2004,Leeds,Liverpool,Premier League,"Elland Road, Leeds",2,2
2003-2004,Saturday 28 February 2004,Arsenal,Charlton,Premier League,"Highbury, London",2,1
2003-2004,Saturday 28 February 2004,Everton,Aston Villa,Premier League,"Goodison Park, Liverpool",2,0
2003-2004,Saturday 28 February 2004,Blackburn,Southampton,Premier League,"Ewood Park, Blackburn",1,1
2003-2004,Saturday 28 February 2004,Man City,Chelsea,Premier League,"Etihad Stadium, Manchester",0,1
2003-2004,Saturday 28 February 2004,Fulham,Man Utd,Premier League,"Loftus Road, London",1,1
2003-2004,Saturday 28 February 2004,Leicester,Wolves,Premier League,"King Power Stadium, Leicester",0,0
2003-2004,Sunday 22 February 2004,Aston Villa,Birmingham,Premier League,"Villa Park, Birmingham",2,2
2003-2004,Sunday 22 February 2004,Spurs,Leicester,Premier League,"White Hart Lane, London",4,4
2003-2004,Saturday 21 February 2004,Charlton,Blackburn,Premier League,"The Valley, London",3,2
2003-2004,Saturday 21 February 2004,Chelsea,Arsenal,Premier League,"Stamford Bridge, London",1,2
2003-2004,Saturday 21 February 2004,Newcastle,Middlesbrough,Premier League,"Sports Direct Arena, Newcastle",2,1
2003-2004,Saturday 21 February 2004,Wolves,Fulham,Premier League,"Molineux, Wolverhampton",2,1
2003-2004,Saturday 21 February 2004,Bolton,Man City,Premier League,"Macron Stadium, Bolton",1,3
2003-2004,Saturday 21 February 2004,Man Utd,Leeds,Premier League,"Old Trafford, Manchester",1,1
2003-2004,Saturday 21 February 2004,Southampton,Everton,Premier League,"The Friends Provident St Mary's Stadium, Southampton",3,3
2003-2004,Wednesday 11 February 2004,Birmingham,Everton,Premier League,"St Andrews, Birmingham",3,0
2003-2004,Wednesday 11 February 2004,Blackburn,Newcastle,Premier League,"Ewood Park, Blackburn",1,1
2003-2004,Wednesday 11 February 2004,Charlton,Spurs,Premier League,"The Valley, London",2,4
2003-2004,Wednesday 11 February 2004,Fulham,Aston Villa,Premier League,"Loftus Road, London",1,2
2003-2004,Wednesday 11 February 2004,Man Utd,Middlesbrough,Premier League,"Old Trafford, Manchester",2,3
2003-2004,Wednesday 11 February 2004,Portsmouth,Chelsea,Premier League,"Fratton Park, Portsmouth",0,2
2003-2004,Wednesday 11 February 2004,Liverpool,Man City,Premier League,"Anfield, Liverpool",2,1
2003-2004,Tuesday 10 February 2004,Arsenal,Southampton,Premier League,"Highbury, London",2,0
2003-2004,Tuesday 10 February 2004,Leeds,Wolves,Premier League,"Elland Road, Leeds",4,1
2003-2004,Tuesday 10 February 2004,Leicester,Bolton,Premier League,"King Power Stadium, Leicester",1,1
2003-2004,Sunday 8 February 2004,Chelsea,Charlton,Premier League,"Stamford Bridge, London",1,0
2003-2004,Sunday 8 February 2004,Man City,Birmingham,Premier League,"Etihad Stadium, Manchester",0,0
2003-2004,Saturday 7 February 2004,Bolton,Liverpool,Premier League,"Macron Stadium, Bolton",2,2
2003-2004,Saturday 7 February 2004,Everton,Man Utd,Premier League,"Goodison Park, Liverpool",3,4
2003-2004,Saturday 7 February 2004,Middlesbrough,Blackburn,Premier League,"Riverside Stadium, Middlesbrough",0,1
2003-2004,Saturday 7 February 2004,Newcastle,Leicester,Premier League,"Sports Direct Arena, Newcastle",3,1
2003-2004,Saturday 7 February 2004,Spurs,Portsmouth,Premier League,"White Hart Lane, London",4,3
2003-2004,Saturday 7 February 2004,Wolves,Arsenal,Premier League,"Molineux, Wolverhampton",1,3
2003-2004,Saturday 7 February 2004,Aston Villa,Leeds,Premier League,"Villa Park, Birmingham",2,0
2003-2004,Saturday 7 February 2004,Southampton,Fulham,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,0
2003-2004,Sunday 1 February 2004,Blackburn,Chelsea,Premier League,"Ewood Park, Blackburn",2,3
2003-2004,Sunday 1 February 2004,Arsenal,Man City,Premier League,"Highbury, London",2,1
2003-2004,Saturday 31 January 2004,Birmingham,Newcastle,Premier League,"St Andrews, Birmingham",1,1
2003-2004,Saturday 31 January 2004,Charlton,Bolton,Premier League,"The Valley, London",1,2
2003-2004,Saturday 31 January 2004,Fulham,Spurs,Premier League,"Loftus Road, London",2,1
2003-2004,Saturday 31 January 2004,Leicester,Aston Villa,Premier League,"King Power Stadium, Leicester",0,5
2003-2004,Saturday 31 January 2004,Liverpool,Everton,Premier League,"Anfield, Liverpool",0,0
2003-2004,Saturday 31 January 2004,Leeds,Middlesbrough,Premier League,"Elland Road, Leeds",0,3
2003-2004,Saturday 31 January 2004,Man Utd,Southampton,Premier League,"Old Trafford, Manchester",3,2
2003-2004,Saturday 31 January 2004,Portsmouth,Wolves,Premier League,"Fratton Park, Portsmouth",0,0
2003-2004,Wednesday 21 January 2004,Wolves,Liverpool,Premier League,"Molineux, Wolverhampton",1,1
2003-2004,Monday 19 January 2004,Newcastle,Fulham,Premier League,"Sports Direct Arena, Newcastle",3,1
2003-2004,Sunday 18 January 2004,Aston Villa,Arsenal,Premier League,"Villa Park, Birmingham",0,2
2003-2004,Sunday 18 January 2004,Chelsea,Birmingham,Premier League,"Stamford Bridge, London",0,0
2003-2004,Saturday 17 January 2004,Bolton,Portsmouth,Premier League,"Macron Stadium, Bolton",1,0
2003-2004,Saturday 17 January 2004,Everton,Charlton,Premier League,"Goodison Park, Liverpool",0,1
2003-2004,Saturday 17 January 2004,Middlesbrough,Leicester,Premier League,"Riverside Stadium, Middlesbrough",3,3
2003-2004,Saturday 17 January 2004,Spurs,Liverpool,Premier League,"White Hart Lane, London",2,1
2003-2004,Saturday 17 January 2004,Wolves,Man Utd,Premier League,"Molineux, Wolverhampton",1,0
2003-2004,Saturday 17 January 2004,Man City,Blackburn,Premier League,"Etihad Stadium, Manchester",1,1
2003-2004,Saturday 17 January 2004,Southampton,Leeds,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,1
2003-2004,Sunday 11 January 2004,Leicester,Chelsea,Premier League,"King Power Stadium, Leicester",0,4
2003-2004,Sunday 11 January 2004,Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",0,0
2003-2004,Saturday 10 January 2004,Arsenal,Middlesbrough,Premier League,"Highbury, London",4,1
2003-2004,Saturday 10 January 2004,Blackburn,Bolton,Premier League,"Ewood Park, Blackburn",3,4
2003-2004,Saturday 10 January 2004,Charlton,Wolves,Premier League,"The Valley, London",2,0
2003-2004,Saturday 10 January 2004,Birmingham,Southampton,Premier League,"St Andrews, Birmingham",2,1
2003-2004,Saturday 10 January 2004,Leeds,Spurs,Premier League,"Elland Road, Leeds",0,1
2003-2004,Saturday 10 January 2004,Portsmouth,Man City,Premier League,"Fratton Park, Portsmouth",4,2
2003-2004,Saturday 10 January 2004,Fulham,Everton,Premier League,"Loftus Road, London",2,1
2003-2004,Saturday 10 January 2004,Liverpool,Aston Villa,Premier League,"Anfield, Liverpool",1,0
2003-2004,Wednesday 7 January 2004,Bolton,Man Utd,Premier League,"Macron Stadium, Bolton",1,2
2003-2004,Wednesday 7 January 2004,Chelsea,Liverpool,Premier League,"Stamford Bridge, London",0,1
2003-2004,Wednesday 7 January 2004,Everton,Arsenal,Premier League,"Goodison Park, Liverpool",1,1
2003-2004,Wednesday 7 January 2004,Middlesbrough,Fulham,Premier League,"Riverside Stadium, Middlesbrough",2,1
2003-2004,Wednesday 7 January 2004,Spurs,Birmingham,Premier League,"White Hart Lane, London",4,1
2003-2004,Wednesday 7 January 2004,Wolves,Blackburn,Premier League,"Molineux, Wolverhampton",2,2
2003-2004,Wednesday 7 January 2004,Man City,Charlton,Premier League,"Etihad Stadium, Manchester",1,1
2003-2004,Wednesday 7 January 2004,Newcastle,Leeds,Premier League,"Sports Direct Arena, Newcastle",1,0
2003-2004,Wednesday 7 January 2004,Southampton,Leicester,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,0
2003-2004,Tuesday 6 January 2004,Aston Villa,Portsmouth,Premier League,"Villa Park, Birmingham",2,1
2003-2004,Monday 29 December 2003,Southampton,Arsenal,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,1
2003-2004,Sunday 28 December 2003,Aston Villa,Fulham,Premier League,"Villa Park, Birmingham",3,0
2003-2004,Sunday 28 December 2003,Bolton,Leicester,Premier League,"Macron Stadium, Bolton",2,2
2003-2004,Sunday 28 December 2003,Chelsea,Portsmouth,Premier League,"Stamford Bridge, London",3,0
2003-2004,Sunday 28 December 2003,Everton,Birmingham,Premier League,"Goodison Park, Liverpool",1,0
2003-2004,Sunday 28 December 2003,Middlesbrough,Man Utd,Premier League,"Riverside Stadium, Middlesbrough",0,1
2003-2004,Sunday 28 December 2003,Man City,Liverpool,Premier League,"Etihad Stadium, Manchester",2,2
2003-2004,Sunday 28 December 2003,Wolves,Leeds,Premier League,"Molineux, Wolverhampton",3,1
2003-2004,Sunday 28 December 2003,Newcastle,Blackburn,Premier League,"Sports Direct Arena, Newcastle",0,1
2003-2004,Sunday 28 December 2003,Spurs,Charlton,Premier League,"White Hart Lane, London",0,1
2003-2004,Friday 26 December 2003,Arsenal,Wolves,Premier League,"Highbury, London",3,0
2003-2004,Friday 26 December 2003,Blackburn,Middlesbrough,Premier League,"Ewood Park, Blackburn",2,2
2003-2004,Friday 26 December 2003,Charlton,Chelsea,Premier League,"The Valley, London",4,2
2003-2004,Friday 26 December 2003,Fulham,Southampton,Premier League,"Loftus Road, London",2,0
2003-2004,Friday 26 December 2003,Leicester,Newcastle,Premier League,"King Power Stadium, Leicester",1,1
2003-2004,Friday 26 December 2003,Liverpool,Bolton,Premier League,"Anfield, Liverpool",3,1
2003-2004,Friday 26 December 2003,Man Utd,Everton,Premier League,"Old Trafford, Manchester",3,2
2003-2004,Friday 26 December 2003,Portsmouth,Spurs,Premier League,"Fratton Park, Portsmouth",2,0
2003-2004,Friday 26 December 2003,Birmingham,Man City,Premier League,"St Andrews, Birmingham",2,1
2003-2004,Friday 26 December 2003,Leeds,Aston Villa,Premier League,"Elland Road, Leeds",0,0
2003-2004,Monday 22 December 2003,Man City,Leeds,Premier League,"Etihad Stadium, Manchester",1,1
2003-2004,Sunday 21 December 2003,Southampton,Portsmouth,Premier League,"The Friends Provident St Mary's Stadium, Southampton",3,0
2003-2004,Sunday 21 December 2003,Spurs,Man Utd,Premier League,"White Hart Lane, London",1,2
2003-2004,Saturday 20 December 2003,Blackburn,Aston Villa,Premier League,"Ewood Park, Blackburn",0,2
2003-2004,Saturday 20 December 2003,Bolton,Arsenal,Premier League,"Macron Stadium, Bolton",1,1
2003-2004,Saturday 20 December 2003,Charlton,Newcastle,Premier League,"The Valley, London",0,0
2003-2004,Saturday 20 December 2003,Everton,Leicester,Premier League,"Goodison Park, Liverpool",3,2
2003-2004,Saturday 20 December 2003,Fulham,Chelsea,Premier League,"Loftus Road, London",0,1
2003-2004,Sunday 14 December 2003,Arsenal,Blackburn,Premier League,"Highbury, London",1,0
2003-2004,Sunday 14 December 2003,Aston Villa,Wolves,Premier League,"Villa Park, Birmingham",3,2
2003-2004,Sunday 14 December 2003,Leeds,Fulham,Premier League,"Elland Road, Leeds",3,2
2003-2004,Saturday 13 December 2003,Chelsea,Bolton,Premier League,"Stamford Bridge, London",1,2
2003-2004,Saturday 13 December 2003,Leicester,Birmingham,Premier League,"King Power Stadium, Leicester",0,2
2003-2004,Saturday 13 December 2003,Middlesbrough,Charlton,Premier League,"Riverside Stadium, Middlesbrough",0,0
2003-2004,Saturday 13 December 2003,Newcastle,Spurs,Premier League,"Sports Direct Arena, Newcastle",4,0
2003-2004,Saturday 13 December 2003,Portsmouth,Everton,Premier League,"Fratton Park, Portsmouth",1,2
2003-2004,Saturday 13 December 2003,Man Utd,Man City,Premier League,"Old Trafford, Manchester",3,1
2003-2004,Saturday 13 December 2003,Liverpool,Southampton,Premier League,"Anfield, Liverpool",1,2
2003-2004,Sunday 7 December 2003,Everton,Man City,Premier League,"Goodison Park, Liverpool",0,0
2003-2004,Sunday 7 December 2003,Southampton,Charlton,Premier League,"The Friends Provident St Mary's Stadium, Southampton",3,2
2003-2004,Saturday 6 December 2003,Birmingham,Blackburn,Premier League,"St Andrews, Birmingham",0,4
2003-2004,Saturday 6 December 2003,Fulham,Bolton,Premier League,"Loftus Road, London",2,1
2003-2004,Saturday 6 December 2003,Leicester,Arsenal,Premier League,"King Power Stadium, Leicester",1,1
2003-2004,Saturday 6 December 2003,Man Utd,Aston Villa,Premier League,"Old Trafford, Manchester",4,0
2003-2004,Saturday 6 December 2003,Middlesbrough,Portsmouth,Premier League,"Riverside Stadium, Middlesbrough",0,0
2003-2004,Saturday 6 December 2003,Spurs,Wolves,Premier League,"White Hart Lane, London",5,2
2003-2004,Saturday 6 December 2003,Newcastle,Liverpool,Premier League,"Sports Direct Arena, Newcastle",1,1
2003-2004,Saturday 6 December 2003,Leeds,Chelsea,Premier League,"Elland Road, Leeds",1,1
2003-2004,Sunday 30 November 2003,Arsenal,Fulham,Premier League,"Highbury, London",0,0
2003-2004,Sunday 30 November 2003,Liverpool,Birmingham,Premier League,"Anfield, Liverpool",3,1
2003-2004,Sunday 30 November 2003,Man City,Middlesbrough,Premier League,"Etihad Stadium, Manchester",0,1
2003-2004,Sunday 30 November 2003,Chelsea,Man Utd,Premier League,"Stamford Bridge, London",1,0
2003-2004,Saturday 29 November 2003,Blackburn,Spurs,Premier League,"Ewood Park, Blackburn",1,0
2003-2004,Saturday 29 November 2003,Bolton,Everton,Premier League,"Macron Stadium, Bolton",2,0
2003-2004,Saturday 29 November 2003,Portsmouth,Leicester,Premier League,"Fratton Park, Portsmouth",0,2
2003-2004,Saturday 29 November 2003,Wolves,Newcastle,Premier League,"Molineux, Wolverhampton",1,1
2003-2004,Saturday 29 November 2003,Aston Villa,Southampton,Premier League,"Villa Park, Birmingham",1,0
2003-2004,Saturday 29 November 2003,Charlton,Leeds,Premier League,"The Valley, London",0,1
2003-2004,Monday 24 November 2003,Fulham,Portsmouth,Premier League,"Loftus Road, London",2,0
2003-2004,Sunday 23 November 2003,Spurs,Aston Villa,Premier League,"White Hart Lane, London",2,1
2003-2004,Saturday 22 November 2003,Birmingham,Arsenal,Premier League,"St Andrews, Birmingham",0,3
2003-2004,Saturday 22 November 2003,Everton,Wolves,Premier League,"Goodison Park, Liverpool",2,0
2003-2004,Saturday 22 November 2003,Leicester,Charlton,Premier League,"King Power Stadium, Leicester",1,1
2003-2004,Saturday 22 November 2003,Man Utd,Blackburn,Premier League,"Old Trafford, Manchester",2,1
2003-2004,Saturday 22 November 2003,Middlesbrough,Liverpool,Premier League,"Riverside Stadium, Middlesbrough",0,0
2003-2004,Saturday 22 November 2003,Leeds,Bolton,Premier League,"Elland Road, Leeds",0,2
2003-2004,Saturday 22 November 2003,Newcastle,Man City,Premier League,"Sports Direct Arena, Newcastle",3,0
2003-2004,Saturday 22 November 2003,Southampton,Chelsea,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,1
2003-2004,Monday 10 November 2003,Blackburn,Everton,Premier League,"Ewood Park, Blackburn",2,1
2003-2004,Sunday 9 November 2003,Liverpool,Man Utd,Premier League,"Anfield, Liverpool",1,2
2003-2004,Sunday 9 November 2003,Man City,Leicester,Premier League,"Etihad Stadium, Manchester",0,3
2003-2004,Sunday 9 November 2003,Chelsea,Newcastle,Premier League,"Stamford Bridge, London",5,0
2003-2004,Saturday 8 November 2003,Arsenal,Spurs,Premier League,"Highbury, London",2,1
2003-2004,Saturday 8 November 2003,Aston Villa,Middlesbrough,Premier League,"Villa Park, Birmingham",0,2
2003-2004,Saturday 8 November 2003,Charlton,Fulham,Premier League,"The Valley, London",3,1
2003-2004,Saturday 8 November 2003,Wolves,Birmingham,Premier League,"Molineux, Wolverhampton",1,1
2003-2004,Saturday 8 November 2003,Bolton,Southampton,Premier League,"Macron Stadium, Bolton",0,0
2003-2004,Saturday 8 November 2003,Portsmouth,Leeds,Premier League,"Fratton Park, Portsmouth",6,1
2003-2004,Monday 3 November 2003,Birmingham,Charlton,Premier League,"St Andrews, Birmingham",1,2
2003-2004,Sunday 2 November 2003,Fulham,Liverpool,Premier League,"Loftus Road, London",1,2
2003-2004,Sunday 2 November 2003,Leicester,Blackburn,Premier League,"King Power Stadium, Leicester",2,0
2003-2004,Saturday 1 November 2003,Everton,Chelsea,Premier League,"Goodison Park, Liverpool",0,1
2003-2004,Saturday 1 November 2003,Man Utd,Portsmouth,Premier League,"Old Trafford, Manchester",3,0
2003-2004,Saturday 1 November 2003,Middlesbrough,Wolves,Premier League,"Riverside Stadium, Middlesbrough",2,0
2003-2004,Saturday 1 November 2003,Newcastle,Aston Villa,Premier League,"Sports Direct Arena, Newcastle",1,1
2003-2004,Saturday 1 November 2003,Spurs,Bolton,Premier League,"White Hart Lane, London",0,1
2003-2004,Saturday 1 November 2003,Leeds,Arsenal,Premier League,"Elland Road, Leeds",1,4
2003-2004,Saturday 1 November 2003,Southampton,Man City,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,2
2003-2004,Sunday 26 October 2003,Charlton,Arsenal,Premier League,"The Valley, London",1,1
2003-2004,Sunday 26 October 2003,Spurs,Middlesbrough,Premier League,"White Hart Lane, London",0,0
2003-2004,Saturday 25 October 2003,Aston Villa,Everton,Premier League,"Villa Park, Birmingham",0,0
2003-2004,Saturday 25 October 2003,Man Utd,Fulham,Premier League,"Old Trafford, Manchester",1,3
2003-2004,Saturday 25 October 2003,Newcastle,Portsmouth,Premier League,"Sports Direct Arena, Newcastle",3,0
2003-2004,Saturday 25 October 2003,Wolves,Leicester,Premier League,"Molineux, Wolverhampton",4,3
2003-2004,Saturday 25 October 2003,Bolton,Birmingham,Premier League,"Macron Stadium, Bolton",0,1
2003-2004,Saturday 25 October 2003,Chelsea,Man City,Premier League,"Stamford Bridge, London",1,0
2003-2004,Saturday 25 October 2003,Liverpool,Leeds,Premier League,"Anfield, Liverpool",3,1
2003-2004,Saturday 25 October 2003,Southampton,Blackburn,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,0
2003-2004,Tuesday 21 October 2003,Fulham,Newcastle,Premier League,"Loftus Road, London",2,3
2003-2004,Monday 20 October 2003,Blackburn,Charlton,Premier League,"Ewood Park, Blackburn",0,1
2003-2004,Sunday 19 October 2003,Birmingham,Aston Villa,Premier League,"St Andrews, Birmingham",0,0
2003-2004,Sunday 19 October 2003,Leicester,Spurs,Premier League,"King Power Stadium, Leicester",1,2
2003-2004,Sunday 19 October 2003,Everton,Southampton,Premier League,"Goodison Park, Liverpool",0,0
2003-2004,Saturday 18 October 2003,Arsenal,Chelsea,Premier League,"Highbury, London",2,1
2003-2004,Saturday 18 October 2003,Fulham,Wolves,Premier League,"Loftus Road, London",0,0
2003-2004,Saturday 18 October 2003,Middlesbrough,Newcastle,Premier League,"Riverside Stadium, Middlesbrough",0,1
2003-2004,Saturday 18 October 2003,Leeds,Man Utd,Premier League,"Elland Road, Leeds",0,1
2003-2004,Saturday 18 October 2003,Man City,Bolton,Premier League,"Etihad Stadium, Manchester",6,2
2003-2004,Saturday 18 October 2003,Portsmouth,Liverpool,Premier League,"Fratton Park, Portsmouth",1,0
2003-2004,Tuesday 14 October 2003,Birmingham,Chelsea,Premier League,"St Andrews, Birmingham",0,0
2003-2004,Sunday 5 October 2003,Middlesbrough,Chelsea,Premier League,"Riverside Stadium, Middlesbrough",1,2
2003-2004,Sunday 5 October 2003,Aston Villa,Bolton,Premier League,"Villa Park, Birmingham",1,1
2003-2004,Saturday 4 October 2003,Fulham,Leicester,Premier League,"Loftus Road, London",2,0
2003-2004,Saturday 4 October 2003,Man Utd,Birmingham,Premier League,"Old Trafford, Manchester",3,0
2003-2004,Saturday 4 October 2003,Portsmouth,Charlton,Premier League,"Fratton Park, Portsmouth",1,2
2003-2004,Saturday 4 October 2003,Liverpool,Arsenal,Premier League,"Anfield, Liverpool",1,2
2003-2004,Saturday 4 October 2003,Leeds,Blackburn,Premier League,"Elland Road, Leeds",2,1
2003-2004,Saturday 4 October 2003,Newcastle,Southampton,Premier League,"Sports Direct Arena, Newcastle",1,0
2003-2004,Saturday 4 October 2003,Spurs,Everton,Premier League,"White Hart Lane, London",3,0
2003-2004,Saturday 4 October 2003,Wolves,Man City,Premier League,"Molineux, Wolverhampton",1,0
2003-2004,Sunday 28 September 2003,Blackburn,Fulham,Premier League,"Ewood Park, Blackburn",0,2
2003-2004,Sunday 28 September 2003,Charlton,Liverpool,Premier League,"The Valley, London",3,2
2003-2004,Sunday 28 September 2003,Everton,Leeds,Premier League,"Goodison Park, Liverpool",4,0
2003-2004,Sunday 28 September 2003,Man City,Spurs,Premier League,"Etihad Stadium, Manchester",0,0
2003-2004,Saturday 27 September 2003,Birmingham,Portsmouth,Premier League,"St Andrews, Birmingham",2,0
2003-2004,Saturday 27 September 2003,Bolton,Wolves,Premier League,"Macron Stadium, Bolton",1,1
2003-2004,Saturday 27 September 2003,Chelsea,Aston Villa,Premier League,"Stamford Bridge, London",1,0
2003-2004,Saturday 27 September 2003,Southampton,Middlesbrough,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,1
2003-2004,Saturday 27 September 2003,Leicester,Man Utd,Premier League,"King Power Stadium, Leicester",1,4
2003-2004,Friday 26 September 2003,Arsenal,Newcastle,Premier League,"Highbury, London",3,2
2003-2004,Sunday 21 September 2003,Middlesbrough,Everton,Premier League,"Riverside Stadium, Middlesbrough",1,0
