season,position,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form,home_form,away_form
2001-2002,8,Aston Villa,38,12,14,12,46,47,-1,50,19,19,22,17,24,30,8,7,4,4,7,8,"W,W,D,L,L,D,L,D,L,L,W,L,D,D,D,W,W,D,D,L,L,W,L,D,L,D,D,L,W,W,L,W,W,W,D,W,D,D","W,L,D,L,W,D,D,W,D,L,W,L,D,W,W,W,W,D,D","W,D,L,L,D,L,L,D,W,D,L,L,D,D,L,L,W,W,D"
2001-2002,9,Spurs,38,14,8,16,49,53,-4,50,19,19,32,24,17,29,10,4,5,4,4,11,"L,W,D,D,L,W,D,W,L,L,L,W,W,L,L,D,L,W,D,L,L,W,L,W,W,D,L,W,W,W,L,L,W,L,W,L,D,D","W,D,W,L,W,W,L,D,W,L,W,W,D,W,W,L,L,W,D","L,D,L,D,W,L,L,L,L,D,L,L,W,L,W,L,W,L,D"
2001-2002,10,Blackburn,38,12,10,16,55,51,4,46,19,19,33,20,22,31,8,6,5,4,4,11,"W,L,W,D,W,D,W,L,L,W,W,D,L,L,L,L,W,L,L,L,W,L,L,L,D,D,W,D,D,W,L,W,D,D,L,W,D,L","W,D,D,W,W,W,L,W,L,L,L,L,D,D,W,W,D,W,D","L,W,W,L,L,D,L,L,L,L,W,L,D,W,D,L,D,L,L"
2001-2002,11,Southampton,38,12,9,17,46,54,-8,45,19,19,23,22,23,32,7,5,7,5,4,10,"W,L,L,D,W,L,D,D,D,D,W,D,L,D,W,D,L,W,W,L,W,L,W,W,L,W,L,L,L,D,L,L,W,L,W,L,L,L","W,L,W,D,D,D,D,W,L,W,L,W,W,W,L,D,L,L,L","L,D,L,D,W,L,D,D,W,L,W,L,L,L,L,W,W,L,L"
2001-2002,12,Middlesbrough,38,12,9,17,35,47,-12,45,19,19,23,26,12,21,7,5,7,5,4,10,"L,L,L,L,W,W,D,W,L,D,W,L,W,D,D,W,D,L,W,L,L,L,L,W,D,D,W,L,W,D,L,D,W,W,L,L,L,L","L,L,W,D,L,W,W,D,D,D,W,L,D,W,W,L,W,L,L","L,L,W,W,D,L,W,L,L,L,L,W,D,L,D,D,W,L,L"
2001-2002,13,Fulham,38,10,14,14,36,44,-8,44,19,19,21,16,15,28,7,7,5,3,7,9,"L,D,W,W,D,L,D,L,L,L,L,L,L,W,D,L,D,W,W,L,D,L,D,W,D,D,W,W,W,D,L,D,D,L,D,D,W,L","D,W,L,L,L,W,D,W,L,D,W,D,W,W,D,D,L,D,W","L,W,D,D,L,L,L,L,L,D,W,L,D,D,W,L,D,D,L"
2001-2002,14,Charlton,38,10,14,14,38,49,-11,44,19,19,23,30,15,19,5,6,8,5,8,6,"D,D,L,D,L,L,L,L,W,D,W,D,L,D,W,L,L,W,W,D,L,D,W,W,D,L,D,W,L,L,D,D,W,D,L,D,W,L","D,D,L,L,W,L,W,L,W,L,W,D,D,L,D,W,L,D,L","D,L,L,L,W,D,D,D,L,W,D,D,W,L,W,L,D,D,W"
2001-2002,15,Everton,38,11,10,17,45,57,-12,43,19,19,26,23,19,34,8,4,7,3,6,10,"L,L,W,D,L,W,L,W,W,L,D,D,L,L,D,D,W,L,L,L,L,L,W,L,W,D,D,D,L,W,D,W,L,L,L,W,D,W","L,D,W,W,D,L,L,W,L,L,W,W,D,L,W,W,L,W,D","L,W,L,L,W,L,D,D,D,L,L,L,L,D,D,D,L,L,W"
2001-2002,16,Bolton,38,9,13,16,44,62,-18,40,19,19,20,31,24,31,5,7,7,4,6,9,"L,L,L,D,W,L,W,W,L,L,D,D,W,L,L,D,D,D,D,L,L,D,L,L,D,W,D,L,W,L,L,D,D,L,D,W,W,W","L,D,W,W,L,D,W,L,D,D,L,D,D,D,L,L,L,W,W","L,L,L,W,L,D,L,D,D,L,L,L,W,L,W,D,D,D,W"
2001-2002,17,Sunderland,38,10,10,18,29,51,-22,40,19,19,18,16,11,35,7,7,5,3,3,13,"D,D,L,L,L,W,L,D,L,W,L,L,W,L,L,D,L,D,L,W,W,L,D,W,L,W,L,D,L,L,W,D,L,D,W,D,L,W","D,L,W,D,W,L,L,D,D,W,D,W,W,D,L,D,L,W,W","D,L,L,L,L,L,W,L,L,L,W,L,L,L,L,W,D,D,L"
2001-2002,18,Ipswich,38,9,9,20,41,64,-23,36,19,19,20,24,21,40,6,4,9,3,5,11,"L,L,W,L,L,D,L,D,D,L,L,L,L,W,W,W,W,L,W,W,W,L,L,L,D,L,L,L,D,D,D,L,L,D,D,L,W,L","L,W,D,D,L,L,W,W,W,W,L,L,L,L,D,L,D,L,W","L,L,L,L,D,L,L,W,W,L,W,L,D,L,D,D,L,D,L"
2001-2002,19,Derby,38,8,6,24,33,63,-30,30,19,19,20,26,13,37,5,4,10,3,2,14,"D,L,L,L,L,L,L,L,W,L,D,W,L,W,L,L,L,L,W,L,W,L,L,W,L,L,W,L,D,D,L,L,L,L,D,D,L,W","L,L,L,L,D,L,W,L,L,W,W,L,W,D,D,L,L,D,W","D,L,L,L,W,L,W,L,L,W,L,L,L,L,L,L,L,D,L"
2001-2002,20,Leicester,38,5,13,20,30,64,-34,28,19,19,15,34,15,30,3,7,9,2,6,11,"W,D,D,D,L,L,W,L,D,D,L,L,L,L,L,L,D,L,D,L,D,D,L,W,D,L,W,D,L,L,L,L,D,L,W,D,L,L","W,D,L,W,L,D,L,L,L,D,D,L,D,W,L,D,L,D,L","D,D,L,D,L,L,L,L,D,L,D,W,L,D,L,L,L,W,L"
2002-2003,1,Man Utd,38,25,8,5,74,34,40,83,19,19,42,12,32,22,16,2,1,9,6,4,"W,W,W,W,D,W,W,W,W,W,D,D,W,W,W,W,W,W,L,L,W,W,W,W,D,L,W,D,D,W,W,W,L,L,W,D,D,W","W,W,W,W,W,D,W,W,W,W,W,W,W,D,W,W,L,W,W","W,W,D,W,W,D,W,W,W,L,L,W,D,L,D,W,L,D,D"
2002-2003,2,Arsenal,38,23,9,6,85,42,43,78,19,19,47,20,38,22,15,2,2,8,7,4,"W,W,L,D,W,D,D,W,L,W,W,D,W,D,W,W,W,D,W,W,D,L,W,L,W,W,W,L,L,W,W,W,W,W,D,W,D,W","W,L,D,W,W,W,W,W,D,W,W,W,W,L,W,W,W,W,W","W,D,W,D,L,W,D,D,W,W,D,L,L,W,L,W,W,D,D"
2002-2003,3,Newcastle,38,21,6,11,63,48,15,69,19,19,36,17,27,31,15,2,2,6,4,9,"D,W,W,D,L,L,L,W,W,L,W,W,D,W,W,W,D,W,W,L,W,D,W,W,L,W,L,W,W,L,W,W,W,L,L,D,L,W","W,D,L,W,W,D,W,W,W,W,W,W,W,W,W,W,W,L,W","D,W,L,L,W,L,W,W,D,L,D,W,L,L,L,W,L,D,L"
2002-2003,4,Chelsea,38,19,10,9,68,38,30,67,19,19,41,15,27,23,12,5,2,7,5,7,"W,L,D,W,L,W,W,W,W,L,L,W,D,W,L,W,L,L,D,W,D,W,W,D,W,W,D,W,W,L,L,D,W,W,D,D,D,W","W,D,W,W,W,L,D,W,W,D,W,W,W,W,W,L,W,D,D","L,L,W,W,L,W,L,L,L,D,W,D,D,W,L,D,W,D,W"
2002-2003,5,Liverpool,38,18,10,10,61,41,20,64,19,19,30,16,31,25,9,8,2,9,2,8,"L,L,W,W,W,W,L,W,W,W,L,D,W,D,W,D,L,D,D,D,L,L,L,L,D,L,W,W,W,W,W,W,W,D,D,D,W,W","L,W,W,W,W,D,D,D,D,D,L,D,W,W,W,W,D,D,W","L,W,W,L,W,L,W,W,L,D,L,L,L,L,W,W,W,D,W"
2002-2003,6,Blackburn,38,16,12,10,52,43,9,60,19,19,24,15,28,28,9,7,3,7,5,7,"W,D,W,D,L,W,W,L,W,W,W,W,L,L,D,D,W,D,D,W,L,D,W,L,L,D,D,W,W,L,W,W,D,L,L,D,W,D","D,D,W,W,W,W,D,W,D,W,W,L,D,W,L,W,L,D,D","W,W,L,W,L,W,L,L,D,D,L,D,L,D,W,W,D,L,W"
2002-2003,7,Everton,38,17,8,13,48,49,-1,59,19,19,28,19,20,30,11,5,3,6,3,10,"L,L,W,L,L,W,W,L,D,D,W,L,W,W,W,L,D,D,D,D,W,L,L,W,W,W,W,W,W,L,W,L,W,L,L,D,W,D","L,W,L,W,D,W,W,W,D,D,W,L,W,W,W,W,W,D,D","L,L,W,L,D,L,W,L,D,D,L,W,W,W,L,L,L,L,W"
2002-2003,8,Southampton,38,13,13,12,43,46,-3,52,19,19,25,16,18,30,9,8,2,4,5,10,"W,L,D,L,L,W,D,D,D,W,L,L,L,W,L,D,W,W,D,D,D,W,W,W,L,D,L,W,W,W,D,D,L,W,L,D,L,D","D,W,D,D,W,L,L,W,W,D,W,W,D,W,W,D,W,D,D","W,L,L,L,D,L,L,W,D,D,D,W,L,L,W,D,L,L,L"
2002-2003,9,Man City,38,15,6,17,47,54,-7,51,19,19,28,26,19,28,9,2,8,6,4,9,"L,W,L,W,W,D,L,L,W,L,L,D,L,W,L,W,D,W,W,L,D,W,W,L,L,W,W,W,L,L,L,D,D,L,W,L,W,L","L,L,W,D,W,L,L,W,W,W,L,W,L,W,L,L,D,W,W","W,W,L,L,L,D,L,D,W,D,W,L,W,W,L,D,L,L,L"
2002-2003,10,Spurs,38,14,8,16,51,62,-11,50,19,19,30,29,21,33,9,4,6,5,4,10,"L,L,L,W,L,D,W,L,L,L,D,W,D,L,W,W,L,L,D,W,D,W,D,W,L,L,D,L,W,W,L,L,W,L,W,W,W,D","L,L,L,W,L,D,W,L,W,D,D,W,W,D,W,L,W,W,W","L,W,D,L,L,D,W,L,L,W,D,L,L,L,W,L,L,W,D"
2002-2003,11,Middlesbrough,38,13,10,15,48,44,4,49,19,19,36,21,12,23,10,7,2,3,3,13,"L,W,L,L,L,D,W,D,W,W,D,W,D,L,L,D,L,L,W,L,D,D,L,W,L,W,L,D,L,W,W,W,L,W,L,W,D,D","W,L,W,D,W,D,L,D,W,D,D,W,W,D,W,W,W,W,D","L,L,L,D,W,W,D,L,L,L,L,L,L,L,L,W,L,L,D"
2002-2003,12,Charlton,38,14,7,17,45,56,-11,49,19,19,26,30,19,26,8,3,8,6,4,9,"L,L,W,L,L,L,L,D,L,L,W,W,W,W,W,D,L,W,D,D,D,W,W,W,W,L,D,L,W,L,L,D,L,L,W,L,W,L","L,W,L,L,L,W,W,W,D,W,D,W,W,D,W,L,L,L,L","L,L,L,D,L,W,W,L,D,D,W,W,L,L,L,D,L,W,W"
2002-2003,13,Birmingham,38,13,9,16,41,49,-8,48,19,19,25,23,16,26,8,5,6,5,4,10,"D,L,W,W,W,W,L,W,L,W,W,L,L,L,D,L,L,L,D,D,W,L,D,W,D,L,W,L,D,W,L,L,W,D,W,D,L,L","D,W,W,W,W,W,L,L,L,D,D,D,D,W,L,L,W,W,L","L,W,L,L,W,L,D,L,L,W,L,W,L,D,W,L,D,D,L"
2002-2003,14,Fulham,38,13,9,16,41,50,-9,48,19,19,26,18,15,32,11,3,5,2,6,11,"W,W,D,L,W,L,L,L,D,W,D,W,W,L,L,W,D,L,D,L,L,W,L,W,D,L,L,L,L,D,W,L,D,W,W,L,D,W","W,W,L,D,W,W,W,W,L,L,W,W,L,L,D,W,D,W,W","W,D,L,L,L,D,L,L,D,D,L,L,D,L,L,L,W,L,D"
2002-2003,15,Leeds,38,14,5,19,58,57,1,47,19,19,25,26,33,31,7,3,9,7,2,10,"W,W,L,W,L,D,W,L,L,L,L,W,L,L,D,L,W,W,W,D,W,L,L,L,L,W,L,D,L,D,L,L,W,W,L,L,W,W","W,L,W,D,L,L,W,D,W,W,D,L,L,L,L,L,W,L,W","W,L,W,L,L,L,L,L,W,W,L,L,W,D,D,L,W,L,W"
2002-2003,16,Aston Villa,38,12,9,17,42,47,-5,45,19,19,25,14,17,33,11,2,6,1,7,11,"L,W,L,D,W,D,D,D,L,L,L,L,W,W,L,D,W,W,L,L,W,L,L,W,D,W,D,D,L,D,L,W,L,W,L,W,L,L","W,W,D,L,L,W,L,W,W,W,L,W,W,L,D,W,W,W,L","L,L,D,D,D,L,L,W,D,L,L,L,D,D,D,L,L,L,L"
2002-2003,17,Bolton,38,10,14,14,41,51,-10,44,19,19,27,24,14,27,7,8,4,3,6,10,"W,D,D,D,W,L,W,W,W,L,D,D,W,L,L,D,D,L,D,W,D,L,D,L,D,W,D,L,D,L,L,D,L,L,W,W,L,L","W,D,W,W,W,D,W,L,D,W,L,D,D,D,D,D,L,W,L","D,D,L,W,L,D,L,D,L,D,D,L,W,L,L,L,L,W,L"
2002-2003,18,West Ham,38,10,12,16,42,59,-17,42,19,19,21,24,21,35,5,7,7,5,5,9,"D,W,W,W,L,D,D,W,D,W,W,L,L,W,L,L,D,D,D,D,L,D,L,L,D,L,L,L,W,W,L,W,D,L,L,L,D,L","W,W,D,W,W,L,W,D,D,D,L,D,L,L,L,D,L,L,D","D,W,L,D,D,W,L,L,L,D,L,D,L,L,W,W,W,L,L"
2002-2003,19,West Brom,38,6,8,24,29,65,-36,26,19,19,17,34,12,31,3,5,11,3,3,13,"D,D,L,L,W,L,L,L,L,L,L,L,D,W,L,D,L,L,L,D,L,L,W,L,D,D,L,L,D,L,L,L,W,W,W,L,L,L","D,L,L,L,L,L,D,L,L,L,D,W,D,L,D,L,W,W,L","D,W,L,L,L,L,W,D,L,L,L,L,D,L,L,L,W,L,L"
2002-2003,20,Sunderland,38,4,7,27,21,65,-44,19,19,19,11,31,10,34,3,2,14,1,5,13,"L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,D,L,L,L,D,W,L,L,L,D,W,D,D,L,L,W,L,L,L,D,W,L,D","L,L,L,L,L,L,L,L,D,L,W,L,L,W,L,W,L,D,L","L,L,L,L,L,L,L,L,L,D,L,D,D,D,L,L,L,W,D"
2003-2004,1,Arsenal,38,26,12,0,73,26,47,90,19,19,40,14,33,12,15,4,0,11,8,0,"W,W,D,D,D,W,D,W,D,W,W,W,W,W,W,W,W,W,D,W,W,D,W,D,D,W,W,W,D,W,W,W,D,D,W,W,W,W","W,D,W,W,D,W,W,W,W,W,W,W,D,W,W,W,D,W,W","W,D,D,D,W,W,W,W,D,W,D,D,W,W,D,W,D,W,W"
2003-2004,2,Chelsea,38,24,7,7,67,30,37,79,19,19,34,13,33,17,12,4,3,12,3,4,"W,D,W,L,D,L,D,W,W,W,W,W,L,W,W,W,D,W,L,W,L,W,L,D,W,W,W,W,W,L,D,W,W,W,W,D,W,W","W,W,D,D,W,W,L,W,D,L,W,L,W,W,W,W,W,D,W","D,L,L,W,W,W,W,W,W,L,W,D,W,W,L,D,W,W,W"
2003-2004,3,Man Utd,38,23,6,9,64,35,29,75,19,19,37,15,27,20,12,4,3,11,2,6,"W,D,L,L,W,L,W,W,D,W,L,D,D,L,W,W,L,D,W,W,W,W,W,W,L,W,W,W,L,W,W,W,D,W,L,W,W,W","D,L,W,W,W,D,L,W,D,W,W,W,W,W,L,W,D,W,W","W,L,L,W,D,L,D,W,L,W,W,W,L,W,W,W,W,L,W"
2003-2004,4,Liverpool,38,16,12,10,55,37,18,60,19,19,29,15,26,22,10,4,5,6,8,5,"D,W,W,W,D,L,L,W,D,W,W,L,D,W,D,D,D,L,W,W,D,W,L,D,W,D,L,W,W,L,L,L,W,W,W,D,D,L","D,W,D,L,W,W,W,W,D,W,W,L,W,L,W,L,W,D,L","W,W,L,D,L,D,D,D,L,W,D,D,D,W,L,L,W,W,D"
2003-2004,5,Newcastle,38,13,17,8,52,40,12,56,19,19,33,14,19,26,11,5,3,2,12,5,"D,D,D,L,W,D,D,W,L,W,L,D,W,D,W,D,W,D,W,L,D,D,W,D,D,W,L,D,W,W,W,W,L,D,D,L,L,D","D,W,D,W,W,W,W,W,W,L,W,D,W,D,W,W,D,L,L","D,D,L,D,L,L,D,D,D,D,D,D,D,L,W,W,L,D,D"
2003-2004,6,Aston Villa,38,15,11,12,48,44,4,56,19,19,24,19,24,25,9,6,4,6,5,8,"L,D,W,W,D,W,D,D,W,L,W,L,D,W,W,W,L,L,W,W,D,W,W,L,W,L,L,D,D,D,D,L,W,L,W,L,D,L","L,W,D,W,D,L,D,W,L,W,W,W,W,L,D,D,W,W,D","D,W,D,W,W,L,W,W,L,D,W,L,L,D,D,L,L,L,L"
2003-2004,7,Charlton,38,14,11,13,51,51,0,53,19,19,29,29,22,22,7,6,6,7,5,7,"W,D,D,L,L,D,W,D,L,L,W,L,W,L,L,L,W,W,D,W,W,D,D,L,L,D,W,W,D,W,W,W,L,L,D,D,W,L","W,D,D,D,L,W,W,L,L,W,W,D,L,W,D,W,L,D,L","D,L,L,W,L,L,L,W,D,W,D,L,D,W,W,W,L,D,W"
2003-2004,8,Bolton,38,14,11,13,48,56,-8,53,19,19,24,21,24,35,6,8,5,8,3,8,"L,W,W,W,W,W,D,L,W,L,L,L,L,D,D,W,W,W,L,D,L,D,W,L,W,W,D,W,L,L,D,D,D,W,D,L,D,L","L,W,W,D,W,L,L,D,W,L,D,D,W,D,L,D,W,D,D","W,W,W,L,L,L,D,W,W,L,W,L,W,W,L,D,D,L,L"
2003-2004,9,Fulham,38,14,10,14,52,46,6,52,19,19,29,21,23,25,9,4,6,5,6,8,"W,L,D,W,D,L,W,D,D,L,W,D,L,L,D,W,L,W,L,L,W,L,L,W,D,W,L,L,W,L,D,W,W,D,D,W,L,W","L,W,L,D,W,D,L,W,W,W,L,W,W,L,L,D,W,D,W","W,D,D,W,D,L,L,D,L,L,L,L,D,L,W,W,D,W,L"
2003-2004,10,Birmingham,38,12,14,12,43,48,-5,50,19,19,26,24,17,24,8,5,6,4,9,6,"D,L,D,D,D,L,L,D,W,L,L,W,W,D,W,D,D,D,W,L,L,W,W,L,L,L,D,L,W,D,D,L,W,W,D,W,D,W","L,D,L,W,L,W,W,W,D,W,W,L,L,L,D,D,W,D,W","D,D,D,L,D,L,D,D,D,L,L,W,L,D,W,L,W,W,D"
2003-2004,11,Middlesbrough,38,13,9,16,44,52,-8,48,19,19,25,23,19,29,8,4,7,5,5,9,"L,W,L,L,L,W,D,W,D,W,L,W,L,L,W,L,W,D,L,W,L,D,D,D,W,D,W,W,D,L,L,W,W,L,L,D,L,L","W,L,W,W,W,W,L,D,W,L,D,D,D,W,L,L,W,L,L","L,L,L,D,D,L,L,L,W,W,L,D,W,W,D,W,L,D,L"
2003-2004,12,Southampton,38,12,11,15,44,45,-1,47,19,19,24,17,20,28,8,6,5,4,5,10,"L,D,D,L,L,W,L,W,W,L,W,D,D,L,D,L,W,L,D,L,L,W,W,W,L,L,D,L,W,D,L,L,W,W,W,D,D,D","D,D,L,W,W,D,D,W,D,L,W,W,L,L,W,L,W,W,D","L,L,W,L,W,L,D,L,L,L,L,W,L,D,D,L,W,D,D"
2003-2004,13,Portsmouth,38,12,9,17,47,54,-7,45,19,19,35,19,12,35,10,4,5,2,5,12,"W,L,D,D,W,W,W,D,W,W,L,L,D,L,L,D,L,W,L,L,W,L,L,D,L,L,W,L,L,W,L,L,L,D,D,W,D,W","W,D,D,W,W,W,D,L,D,W,W,L,L,W,W,L,L,W,W","L,W,D,W,L,L,L,L,L,L,L,D,L,L,L,L,D,D,D"
2003-2004,14,Spurs,38,13,6,19,47,57,-10,45,19,19,33,27,14,30,9,4,6,4,2,13,"W,W,L,D,L,D,L,L,L,L,W,L,D,W,W,L,W,W,W,L,L,L,L,W,L,W,L,L,D,W,W,D,L,L,L,D,W,L","W,D,D,L,W,D,W,W,W,L,L,W,W,L,D,W,L,L,W","W,L,L,L,L,L,L,W,L,W,L,L,L,L,W,D,L,D,L"
2003-2004,15,Blackburn,38,12,8,18,51,59,-8,44,19,19,25,31,26,28,5,4,10,7,4,8,"D,L,W,W,W,W,L,L,L,W,L,D,L,D,W,L,D,L,D,W,D,L,L,W,W,L,W,L,L,L,L,L,W,L,D,L,D,W","D,W,W,L,L,L,D,D,L,L,D,L,W,W,L,L,L,L,W","L,W,W,L,W,L,W,D,D,W,L,W,L,L,L,L,W,D,D"
2003-2004,16,Man City,38,9,14,15,55,54,1,41,19,19,31,24,24,30,5,9,5,4,5,10,"W,L,W,D,L,D,D,D,D,L,W,L,W,L,D,L,D,L,D,D,L,D,L,D,L,L,L,W,L,W,L,D,D,W,L,W,D,W","W,W,L,D,D,W,L,D,D,D,D,D,L,L,W,D,W,L,D","L,D,D,D,L,W,L,L,L,L,L,D,L,W,L,L,D,W,W"
2003-2004,17,Everton,38,9,12,17,45,57,-12,39,19,19,27,20,18,37,8,5,6,1,7,11,"L,L,L,L,D,D,W,L,D,D,W,W,D,L,L,D,L,L,D,W,L,W,W,D,L,W,L,L,D,D,L,W,L,D,L,D,W,L","L,L,W,D,W,W,L,L,D,W,W,D,W,L,D,W,D,L,W","L,L,D,D,L,D,D,L,D,L,L,W,L,L,D,L,L,D,L"
2003-2004,18,Leicester,38,6,15,17,48,65,-17,33,19,19,19,28,29,37,3,10,6,3,5,11,"L,W,D,D,L,L,L,L,D,D,W,D,D,D,L,L,D,L,D,D,D,L,L,D,W,D,W,W,L,L,L,L,L,W,L,D,L,D","W,D,L,D,D,D,D,L,L,D,L,D,D,W,L,L,W,D,D","L,D,L,L,L,W,D,L,D,D,D,L,W,W,L,L,L,L,L"
2003-2004,19,Leeds,38,8,9,21,40,79,-39,33,19,19,25,31,15,48,5,7,7,3,2,14,"L,D,L,L,L,D,W,W,L,W,L,D,D,W,L,L,L,L,L,L,D,D,W,D,W,L,L,L,L,L,W,L,L,L,W,D,L,D","D,L,D,W,W,D,W,L,L,D,W,D,L,L,L,W,L,D,D","L,L,L,W,L,L,D,L,L,L,L,D,W,L,L,L,L,W,L"
2003-2004,20,Wolves,38,7,12,19,38,77,-39,33,19,19,23,35,15,42,7,5,7,0,7,12,"L,D,W,D,W,L,D,L,L,L,L,D,W,L,L,D,D,W,L,D,W,L,L,L,D,L,D,L,W,D,W,D,L,L,D,L,L,L","L,W,W,L,L,L,W,L,D,W,D,W,D,D,W,W,L,D,L","D,D,D,L,L,D,L,D,L,L,L,L,L,L,D,D,L,L,L"
2004-2005,1,Chelsea,38,29,8,1,72,15,57,95,19,19,35,6,37,9,14,5,0,15,3,1,"D,W,W,W,W,D,D,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,D,W,W,W,W,L,W,W,D,D,W,W,W,W","W,W,D,D,W,W,D,W,W,W,W,W,D,W,W,W,D,W,W","D,W,W,W,W,W,W,W,W,W,D,W,W,W,L,W,D,W,W"
2004-2005,2,Arsenal,38,25,8,5,87,36,51,83,19,19,54,19,33,17,13,5,1,12,3,4,"L,W,W,W,W,D,W,W,W,W,D,W,W,L,W,L,D,W,W,W,W,D,W,L,D,W,D,D,L,W,W,W,D,W,W,W,W,W","W,W,W,W,W,W,L,W,D,W,D,W,D,D,W,W,D,W,W","L,W,D,W,W,D,W,L,W,W,W,L,W,D,L,W,W,W,W"
2004-2005,3,Man Utd,38,22,11,5,58,26,32,77,19,19,31,12,27,14,12,6,1,10,5,4,"W,L,D,W,W,L,L,D,W,D,W,W,W,W,W,W,D,W,W,W,W,D,W,W,W,W,D,L,W,D,D,W,W,D,D,D,W,L","L,D,W,D,W,W,W,W,D,W,W,W,W,D,W,D,W,D,W","W,W,L,L,D,W,W,W,W,W,D,W,W,L,D,W,D,D,L"
2004-2005,4,Everton,38,18,7,13,45,46,-1,61,19,19,24,15,21,31,12,2,5,6,5,8,"L,L,W,L,D,W,W,L,L,L,W,L,D,W,L,D,W,L,L,W,D,W,W,D,W,W,L,D,W,W,L,W,W,W,D,W,W,L","W,D,W,W,L,L,W,L,W,W,W,W,W,D,W,L,W,W,L","L,L,L,L,L,W,D,D,L,L,D,D,W,L,W,W,W,D,W"
2004-2005,5,Liverpool,38,17,7,14,52,41,11,58,19,19,31,15,21,26,12,4,3,5,3,11,"W,L,D,L,W,D,L,W,W,D,L,L,W,W,L,L,W,L,W,W,W,D,L,D,W,L,W,L,D,W,W,L,W,L,W,L,W,D","W,D,D,W,W,D,W,L,L,W,W,D,W,W,L,W,W,W,W","L,L,W,L,L,L,W,L,W,W,L,D,L,D,W,L,L,L,D"
2004-2005,6,Bolton,38,16,10,12,49,44,5,58,19,19,25,18,24,26,9,5,5,7,5,7,"W,D,L,D,D,W,W,L,W,W,L,D,W,W,W,W,W,D,L,L,L,L,L,L,D,L,D,W,W,W,L,D,D,D,W,W,L,W","W,L,D,W,W,D,W,W,D,L,L,L,L,W,W,D,D,W,W","D,D,W,L,W,L,W,W,W,L,L,L,D,D,W,L,D,W,L"
2004-2005,7,Middlesbrough,38,14,13,11,53,46,7,55,19,19,29,19,24,27,9,6,4,5,7,7,"D,W,D,D,W,D,L,W,L,L,D,D,W,L,D,D,L,L,W,L,W,D,W,L,W,W,D,W,D,W,D,L,L,W,W,W,L,D","W,W,D,L,L,D,W,D,L,W,W,W,W,D,D,L,W,W,D","D,D,D,W,L,D,L,D,L,L,D,L,W,W,W,D,L,W,L"
2004-2005,8,Man City,38,13,13,12,47,39,8,52,19,19,24,14,23,25,8,6,5,5,7,7,"D,W,W,D,W,D,W,D,L,L,W,L,D,D,L,W,D,W,D,L,W,L,L,W,W,D,D,D,L,W,D,L,W,L,W,L,L,D","D,W,W,W,L,L,D,W,W,D,L,W,D,D,W,L,L,W,D","W,D,D,D,L,W,D,L,D,L,W,L,W,D,L,D,W,L,L"
2004-2005,9,Spurs,38,14,10,14,47,41,6,52,19,19,36,22,11,19,9,5,5,5,5,9,"D,L,W,L,D,D,W,D,W,L,L,W,W,L,L,L,D,W,D,W,W,W,W,W,L,L,L,L,L,L,W,L,D,D,W,D,W,D","D,W,D,W,W,W,W,L,W,D,W,W,L,L,L,L,D,W,D","L,L,D,D,L,L,L,L,D,W,W,W,L,L,L,W,D,D,W"
2004-2005,10,Aston Villa,38,12,11,15,45,52,-7,47,19,19,26,17,19,35,8,6,5,4,5,10,"L,L,L,D,D,W,D,W,L,W,L,W,L,D,L,W,L,W,L,L,L,L,D,L,W,W,W,D,W,L,D,D,D,D,W,L,D,W","L,D,D,D,W,L,L,W,W,L,L,D,W,W,W,D,D,W,W","L,L,W,W,L,W,D,L,L,L,L,L,W,D,L,D,D,L,D"
2004-2005,11,Charlton,38,12,10,16,42,58,-16,46,19,19,29,29,13,29,8,4,7,4,6,9,"D,L,L,L,D,L,L,D,L,W,D,D,D,L,W,W,L,L,W,D,W,W,W,L,L,W,W,L,L,D,L,W,D,D,L,W,W,L","D,L,L,D,L,W,L,W,L,W,W,L,W,L,D,W,D,W,W","L,L,D,L,D,D,D,W,L,D,W,W,L,W,L,L,D,L,L"
2004-2005,12,Birmingham,38,11,12,15,40,46,-6,45,19,19,24,15,16,31,8,6,5,3,6,10,"W,L,W,D,L,D,D,D,W,L,L,W,L,W,L,L,L,L,W,W,W,W,L,D,D,L,W,L,D,D,D,D,D,L,L,W,L,D","W,W,D,D,W,W,W,L,L,W,W,D,L,L,D,D,D,W,L","L,D,L,D,L,L,L,L,L,W,W,L,D,W,D,D,L,L,D"
2004-2005,13,Fulham,38,12,8,18,52,60,-8,44,19,19,29,26,23,34,8,4,7,4,4,11,"W,W,L,W,L,D,D,L,W,L,D,L,L,D,W,W,D,W,L,L,L,D,W,L,L,L,W,W,L,L,L,W,D,L,L,L,W,D","W,L,W,D,W,D,D,W,W,L,D,L,L,W,L,W,L,L,W","W,L,D,L,L,L,L,W,D,L,L,W,L,W,L,L,D,L,D"
